;segment;time;altitude_m;mach_number;velocity_m_s;pressure_Pa;density_kg_m3;temperature_C;lift_coefficient;drag_coefficient;angle_of_attack_rad;flight_path_angle_rad;mass_kg;mass_flow_kg_s;CG_m;CG_percent;combustion_engine_throttle;battery_energy;battery_voltage;battery_voltage_under_load;battery_voltage_open_circuit;state_of_charge;rpm;etap;propeller_rpm;propeller_torque;propeller_motor_torque;propeller_power_coefficient;power_turboshaft;propeller_tip_mach;motor_torque;gas_turbine_p3;gas_turbine_t3;gas_turbine_far;disc_loading;power_loading;thrust_propeller;co_emissions_index;co2_emissions_index;nox_emissions_index;co_emissions_total;co2_emissions_total;nox_emissions_total;l_over_d;weight;lift;drag;electric_throttle;power
29;climb_8;617,4663231;4730,707735;0,325967152;104,8437778;56018,48803;0,758091753;257,4232155;0,751971729;0,052995149;0,077093094;0,129199597;17849,78765;0,200988481;9,531987167;19,93398534;0,9;0;0;0;0;0;1200;0,875;1200;8686,586031;8686,586031;0,191992595;2183177,189;0,76772131;8686,586031;10,26425961;663,1299351;0,02;81,74029335;0,039109499;21345,74143;1,871638495;3160;13,27351315;0,281520512;464,081482;2,221107511;14,18944446;175106,4168;172812,2306;12178,92857;0;2183177,189
30;climb_8;674,7586234;5035,146082;0,32722536;104,8437778;53795,25816;0,73363597;255,4473961;0,77646815;0,054647254;0,080620197;0,130003178;17838,41727;0,196096946;9,531366684;19,906993;0,9;0;0;0;0;0;1200;0,875;1200;8465,233289;8465,233289;0,193337207;2127545,177;0,770684653;8465,233289;9,983712396;660,9917136;0,02;79,81451577;0,03918665;20842,84196;1,871868002;3160;13,02095444;0,302805404;500,0118781;2,370574095;14,20873139;174994,8734;172685,333;12153,46594;0;2127545,177
31;climb_8;703,4047735;5181,6;0,327835806;104,8437778;52751,5767;0,722089331;254,4969704;0,788607486;0,055485997;0,082368966;0,130571158;17832,83029;0,194011718;9,531061512;19,89371736;0,9;0;0;0;0;0;1200;0,875;1200;8370,735105;8370,735105;0,194236031;2103795,193;0,772122384;8370,735105;9,855414144;660,0491524;0,02;78,99324777;0,039221261;20628,37522;1,871029031;3160;12,90661703;0,313261461;517,6667409;2,442999117;14,21272982;174940,0651;172624,7308;12145,7829;0;2103795,193
32;cruise;703,4047735;5181,6;0,455238141;145,5877778;52751,5767;0,722089331;254,4969704;0,412775956;0,034183916;0,025428195;0,025428195;17832,83029;0,188933451;9,531061512;19,89371736;0,853868934;0;0;0;0;0;1200;0,83;1200;8263,426639;8263,426639;0,191746026;2076825,634;0,772122384;8263,426639;9,84784282;658,4042092;0,02;55,27055329;0,027798977;14433,40721;1,911362503;3160;12,81961087;0,313261461;517,6667409;2,442999117;12,07515123;174940,0651;174229,2319;14428,74119;0;1689579,158
33;cruise;1123,848706;5181,6;0,455238141;145,5877778;52751,5767;0,722089331;254,4969704;0,410944931;0,034120377;0,025176309;0,025176309;17753,45182;0,188660437;9,526704948;19,70419754;0,852608475;0;0;0;0;0;1200;0,83;1200;8248,986071;8248,986071;0,191410945;2073196,323;0,772122384;8248,986071;9,838479411;658,2133397;0,02;55,16746726;0,027795703;14406,48722;1,914494797;3160;12,80503911;0,465106819;768,5027148;3,460021477;12,04397408;174161,3623;173456,3718;14401,92171;0;1686657,864
34;cruise;1964,736572;5181,6;0,455238141;145,5877778;52751,5767;0,722089331;254,4969704;0,407290669;0,033994412;0,024673633;0,024673633;17595,03759;0,188119066;9,517893129;19,3208646;0,850109791;0;0;0;0;0;1200;0,83;1200;8220,359657;8220,359657;0,190746692;2066001,721;0,772122384;8220,359657;9,819917757;657,8349676;0,02;54,96311356;0,027789177;14353,12209;1,920742985;3160;12,77612825;0,768884984;1269,09166;5,486228891;11,98110632;172607,3188;171913,939;14348,75331;0;1680859,673
35;cruise;2675,180504;5181,6;0,455238141;145,5877778;52751,5767;0,722089331;254,4969704;0,405467403;0,033931984;0,024422839;0,024422839;17516,00054;0,187850698;9,51343708;19,12701695;0,848871497;0;0;0;0;0;1200;0,83;1200;8206,173027;8206,173027;0,190417503;2062436,232;0,772122384;8206,173027;9,810719004;657,6474545;0,02;54,86184029;0,027785927;14326,67549;1,923858605;3160;12,76178883;0,920817974;1518,848735;6,495449314;11,94941621;171831,9653;171144,354;14322,40295;0;1677982,278
36;descent_5;2675,180504;5181,6;0,327835806;104,8437778;52751,5767;0,722089331;254,4969704;0,781632996;0,052666246;0,081353128;0,018620449;17516,00054;0,059612765;9,51343708;19,12701695;0,15;0;0;0;0;0;1200;0,4;1200;468,0569158;468,0569158;0,010860876;117635,5334;0,772122384;468,0569158;4,162783581;529,6035147;0,01;2,986460178;0,026518762;779,8871788;6,659404902;3160;6,028860052;0,920817974;1518,848735;6,495449314;14,84125147;171831,9653;171098,0278;11528,54448;0;117635,5334
37;descent_5;2698,358991;5029,467428;0,327201758;104,8437778;53836,06136;0,73408652;255,4842491;0,768803557;0,05180101;0,079505029;0,016768607;17514,60479;0,060210514;9,513358027;19,12357799;0,15;0;0;0;0;0;1200;0,4;1200;468,0569158;468,0569158;0,010683377;117635,5334;0,770629067;468,0569158;4,212632437;530,3291726;0,01;2,981018701;0,026470444;778,466186;6,669607915;3160;6,037738098;0,930101009;1523,259312;6,503869887;14,84147798;171818,273;171085,7443;11527,54088;0;117635,5334
38;descent_5;2744,715964;4724,396756;0,325941222;104,8437778;56065,35231;0,758605255;257,4641761;0,743947942;0,050160613;0,075926554;0,013117514;17511,79261;0,061428333;9,513198712;19,11664744;0,15;0;0;0;0;0;1200;0,4;1200;468,0569158;468,0569158;0,010338081;117635,5334;0,767660238;468,0569158;4,312595186;531,9283832;0,01;2,965035991;0,026328522;774,2924452;6,672238228;3160;6,053265796;0,948886067;1532,145813;6,520872312;14,83131691;171790,6855;171084,0741;11535,3259;0;117635,5334
