mission_phase,B_Fuel_kW,B_Eng_Air_kW,W_Bat_Power_out_kW,W_Electric_Motor_in_kW,W_Mec_Engine_out_kW,W_Mec_Hydraulic_Electric_MT_kW,W_Mec_Motor_out_kW,B_Thrust_kW,B_Eng_Gases_kW,B_Bleed_MT_kW,B_Bat_Heat_kW,B_Inverter_Heat_kW,B_Motor_Heat_kW,B_Prop_Air_kW,B_Dest_Engine_kW,B_Dest_Bat_kW,B_Dest_Inverter_kW,B_Dest_Motor_kW,B_Dest_Prop_kW,P_dissipada_Bat_kW,P_loss_Inv_kW,T0_env_K,I_bat_A,Voc_bat_V,Vload_bat_V,eta_ex_engine,eta_ex_bat,eta_ex_inverter,eta_ex_motor,eta_ex_prop
descent_6,2992.412657,63.294398,0.710152,0.000000,84.811940,29.828000,0.000000,6.034816,994.350947,1.961445,0,0,0,9.561690,1944.754723,0.000046,0.710152,0.000000,69.215434,0.000046,0.710152,535.560409,0.951420,746.461173,746.413208,0.037517,0.999936,0,0.000000,0.071155
descent_7,2992.639332,59.396531,0.710152,0.000000,84.152977,29.828000,0.000000,8.519002,990.796254,1.961291,0,0,0,9.191399,1945.297342,0.000046,0.710152,0.000000,66.442575,0.000046,0.710152,535.560409,0.951420,746.461173,746.413208,0.037346,0.999936,0,0.000000,0.101232
descent_7,3019.933700,59.966907,0.710152,0.000000,87.455418,29.828000,0.000000,10.513604,997.787541,1.926825,0,0,0,9.370059,1962.902824,0.000046,0.710152,0.000000,67.571754,0.000046,0.710152,536.553151,0.951425,746.456724,746.408759,0.038080,0.999936,0,0.000000,0.120217
descent_7,3072.608325,61.067462,0.710152,0.000000,93.902729,29.828000,0.000000,14.310192,1011.088662,1.858137,0,0,0,9.729505,1996.998259,0.000046,0.710152,0.000000,69.863032,0.000046,0.710152,538.531818,0.951437,746.447828,746.399862,0.039484,0.999936,0,0.000000,0.152394
descent_7,3098.406445,61.608509,0.710152,0.000000,97.113161,29.828000,0.000000,16.174601,1017.519302,1.823896,0,0,0,9.911335,2013.730596,0.000046,0.710152,0.000000,71.027225,0.000046,0.710152,539.518263,0.951442,746.443381,746.395415,0.040171,0.999936,0,0.000000,0.166554
descent_8,3099.219150,57.898375,0.710152,0.000000,96.514032,29.828000,0.000000,18.456475,1014.338341,1.823766,0,0,0,9.566039,2014.613387,0.000046,0.710152,0.000000,68.491518,0.000046,0.710152,539.518263,0.951442,746.443381,746.395415,0.040018,0.999936,0,0.000000,0.191231
descent_8,3127.439949,58.477321,0.710152,0.000000,99.394370,29.828000,0.000000,20.008539,1021.311180,1.789455,0,0,0,9.741780,2033.594265,0.000046,0.710152,0.000000,69.644052,0.000046,0.710152,540.506802,0.951448,746.438715,746.390748,0.040560,0.999936,0,0.000000,0.201305
descent_8,3199.869152,60.046374,0.710152,0.000000,103.086086,29.828000,0.000000,21.073564,1039.520610,1.720716,0,0,0,10.068970,2085.760115,0.000046,0.710152,0.000000,71.943551,0.000046,0.710152,542.487403,0.951460,746.429385,746.381418,0.040772,0.999936,0,0.000000,0.204427
descent_8,3226.045033,60.503032,0.710152,0.000000,106.253544,29.828000,0.000000,22.850289,1046.388430,1.686376,0,0,0,10.254529,2102.391714,0.000046,0.710152,0.000000,73.148725,0.000046,0.710152,543.476874,0.951466,746.424721,746.376754,0.041406,0.999936,0,0.000000,0.215054
descent_9,3227.366353,56.887679,0.710152,0.000000,105.637906,29.828000,0.000000,24.896525,1043.448489,1.686264,0,0,0,9.928611,2103.653373,0.000046,0.710152,0.000000,70.812770,0.000046,0.710152,543.476874,0.951466,746.424721,746.376754,0.041247,0.999936,0,0.000000,0.235678
