mission_phase;B_Fuel_kW;B_Eng_Air_kW;B_Electric_Input_kW;W_Bat_Power_out_kW;W_Electric_Motor_in_kW;W_Mec_Engine_out_kW;W_Mec_Hydraulic_Electric_MT_kW;W_Mec_Motor_out_kW;B_Thrust_kW;B_Eng_Gases_kW;B_Bleed_MT_kW;B_Bat_Heat_kW;B_Inverter_Heat_kW;B_Motor_Heat_kW;B_Prop_Air_kW;B_Dest_Engine_kW;B_Dest_Bat_kW;B_Dest_Inverter_kW;B_Dest_Motor_kW;B_Dest_Prop_kW;P_dissipada_Bat_kW;P_loss_Inv_kW;T0_env_K;I_bat_A;Voc_bat_V;Vload_bat_V;eta_ex_engine;eta_ex_bat;eta_ex_inverter;eta_ex_motor;eta_ex_prop;eta_ex_global
descent_6;2503,755038;52,495593;0,519515;0,51949;0;130,593118;29,828;0;5,529234;840,860021;2,098864;0;0;0;98,945261;1552,870628;0,000024;0,51949;0;26,118624;0,000024;0,51949;531,603311;0,696102;746,320236;746,285074;0,062756;0,999953;0;0;0,042339;0,002163
descent_6;2527,52281;53,04912;0,519515;0,51949;0;136,379018;29,828;0;9,213722;846,911282;2,064503;0;0;0;99,889493;1565,389127;0,000024;0,51949;0;27,275804;0,000024;0,51949;532,592603;0,696106;746,315031;746,279869;0,064407;0,999953;0;0;0,06756;0,00357
descent_6;2587,882694;54,591806;0,519515;0,51949;0;143,256178;29,828;0;11,905134;862,111011;1,995812;0;0;0;102,699809;1605,283498;0,000024;0,51949;0;28,651236;0,000024;0,51949;534,570629;0,696116;746,304623;746,269461;0,065501;0,999953;0;0;0,083104;0,004504
descent_6;2619,501701;55,406724;0,519515;0,51949;0;146,258267;29,828;0;12,780666;870,058039;1,961445;0;0;0;104,225947;1626,802675;0,000024;0,51949;0;29,251653;0,000024;0,51949;535,560409;0,696121;746,299421;746,264258;0,065829;0,999953;0;0;0,087384;0,004777
descent_7;2619,700105;51,994605;0,519515;0,51949;0;145,121884;29,828;0;17,032671;866,947374;1,961291;0;0;0;99,064836;1627,836161;0,000024;0,51949;0;29,024377;0,000024;0,51949;535,560409;0,696121;746,299421;746,264258;0,065483;0,999953;0;0;0,117368;0,006374
descent_7;2643,580187;52,493631;0,519515;0,51949;0;150,813856;29,828;0;20,556346;873,065564;1,926843;0;0;0;100,094739;1640,439554;0,000024;0,51949;0;30,162771;0,000024;0,51949;536,552612;0,696126;746,293977;746,258813;0,067002;0,999953;0;0;0,136303;0,007623
descent_7;2689,691191;53,45705;0,519515;0,51949;0;161,932349;29,828;0;27,27163;884,712131;1,858155;0;0;0;102,274249;1664,817606;0,000024;0,51949;0;32,38647;0,000024;0,51949;538,531285;0,696136;746,283091;746,247927;0,069905;0,999953;0;0;0,168414;0,00994
descent_7;2712,286675;53,930929;0,519515;0,51949;0;167,471735;29,828;0;30,572287;890,345872;1,823896;0;0;0;103,405101;1676,748101;0,000024;0,51949;0;33,494347;0,000024;0,51949;539,518263;0,696141;746,27765;746,242486;0,071325;0,999953;0;0;0,182552;0,01105
descent_8;2712,998077;50,683147;0,519515;0,51949;0;166,438536;29,828;0;34,476502;887,562271;1,823766;0;0;0;98,674327;1678,028652;0,000024;0,51949;0;33,287707;0,000024;0,51949;539,518263;0,696141;746,27765;746,242486;0,071016;0,999953;0;0;0,207143;0,012473
descent_8;2737,697533;51,189842;0,519515;0,51949;0;171,40543;29,828;0;37,228378;893,666661;1,789459;0;0;0;99,895966;1692,197825;0,000024;0,51949;0;34,281086;0,000024;0,51949;540,506678;0,696147;746,271947;746,236783;0,072155;0,999953;0;0;0,217195;0,013346
descent_8;2801,099102;52,563358;0,519515;0,51949;0;177,7706;29,828;0;39,16424;909,610502;1,720725;0;0;0;103,05224;1734,732635;0,000024;0,51949;0;35,55412;0,000024;0,51949;542,48714;0,696157;746,260544;746,225379;0,072748;0,999953;0;0;0,220308;0,013722
descent_8;2824,019092;52,963215;0,519515;0,51949;0;183,234333;29,828;0;42,311583;915,624884;1,686376;0;0;0;104,275883;1746,608713;0,000024;0,51949;0;36,646867;0,000024;0,51949;543,476874;0,696163;746,254844;746,219679;0,074058;0,999953;0;0;0,230915;0,014704
descent_9;2825,175761;49,798404;0,519515;0,51949;0;182,172665;29,828;0;45,808569;913,052226;1,686264;0;0;0;99,929564;1748,23501;0,000024;0,51949;0;36,434533;0,000024;0,51949;543,476874;0,696163;746,254844;746,219679;0,07374;0,999953;0;0;0,251457;0,015931
descent_9;2848,034047;50,173047;0,519515;0,51949;0;187,653331;29,828;0;48,971392;919,001901;1,651823;0;0;0;101,151273;1760,072039;0,000024;0,51949;0;37,530666;0,000024;0,51949;544,469307;0,696168;746,24887;746,213705;0,07504;0,999953;0;0;0,260967;0,016894
descent_9;2890,64924;50,924364;0,519515;0,51949;0;198,249964;29,828;0;54,867385;929,379675;1,583133;0;0;0;103,732586;1782,532832;0,000024;0,51949;0;39,649993;0,000024;0,51949;546,448708;0,696179;746,236926;746,20176;0,077536;0,999953;0;0;0,276759;0,018649
descent_9;2911,795336;51,3003;0,519515;0,51949;0;203,484301;29,828;0;57,714105;934,466542;1,548863;0;0;0;105,073336;1793,76793;0,000024;0,51949;0;40,69686;0,000024;0,51949;547,436243;0,696185;746,230956;746,195789;0,078739;0,999953;0;0;0,283629;0,019474
descent_10;2914,633274;47,382019;0,519515;0,51949;0;202,146532;29,828;0;61,692798;931,811261;1,548739;0;0;0;100,024427;1796,680762;0,000024;0,51949;0;40,429306;0,000024;0,51949;547,436243;0,696185;746,230956;746,195789;0,078316;0,999953;0;0;0,305189;0,020824
descent_10;2963,477807;48,243173;0,519515;0,51949;0;207,102099;29,828;0;63,138056;944,268394;1,496989;0;0;0;102,543624;1829,025498;0,000024;0,51949;0;41,42042;0,000024;0,51949;548,927479;0,696194;746,221441;746,186275;0,078669;0,999953;0;0;0,304864;0,02096
descent_10;3028,653315;49,19645;0,519515;0,51949;0;222,705581;29,828;0;71,364838;960,820067;1,393948;0;0;0;106,799626;1863,10217;0,000024;0,51949;0;44,541116;0,000024;0,51949;551,89666;0,696211;746,20242;746,167253;0,082049;0,999953;0;0;0,320445;0,023183
descent_10;3058,848192;49,672439;0,519515;0,51949;0;230,241996;29,828;0;75,130667;967,937449;1,34258;0;0;0;109,06293;1879,170605;0,000024;0,51949;0;46,048399;0,000024;0,51949;553,376716;0,69622;746,192914;746,157746;0,083664;0,999953;0;0;0,326312;0,024165
descent_11;3062,202326;46,285001;0,519515;0,51949;0;229,169339;29,828;0;78,308901;966,035607;1,342488;0;0;0;105,02657;1882,111893;0,000024;0,51949;0;45,833868;0,000024;0,51949;553,376716;0,69622;746,192914;746,157746;0,083319;0,999953;0;0;0,341708;0,025188
descent_11;3090,281218;46,717155;0,519515;0,51949;0;235,013727;29,828;0;80,992033;972,640954;1,299441;0;0;0;107,018949;1898,216251;0,000024;0,51949;0;47,002745;0,000024;0,51949;554,616959;0,696228;746,184521;746,149352;0,084425;0,999953;0;0;0,344627;0,025814
descent_11;3145,639954;47,487364;0,519515;0,51949;0;246,721453;29,828;0;86,244263;986,319044;1,213505;0;0;0;111,1329;1929,045316;0,000024;0,51949;0;49,344291;0,000024;0,51949;557,092638;0,696244;746,167741;746,132572;0,086608;0,999953;0;0;0,349561;0,027005
descent_11;3173,322999;47,861107;0,519515;0,51949;0;252,902771;29,828;0;89,118296;993,230891;1,170603;0;0;0;113,20392;1944,05184;0,000024;0,51949;0;50,580554;0,000024;0,51949;558,328413;0,696252;746,159354;746,124185;0,087772;0,999953;0;0;0,352382;0,027662
descent_12;4134,588928;27,75517;0,519515;0,51949;0;594,65491;29,828;0;425,636783;1299,484024;1,17014;0;0;0;50,087145;2237,207024;0,000024;0,51949;0;118,930982;0,000024;0,51949;558,328413;0,696252;746,159354;746,124185;0,150032;0,999953;0;0;0,715771;0,102246
descent_12;4156,667759;27,919374;0,519515;0,51949;0;594,576199;29,828;0;424,302161;1304,334456;1,144351;0;0;0;51,358798;2254,704127;0,000024;0,51949;0;118,91524;0,000024;0,51949;559,07127;0,696259;746,151487;746,116317;0,149215;0,999953;0;0;0,713621;0,101384
descent_12;4201,692613;28,252448;0,519515;0,51949;0;594,920519;29,828;0;422,021829;1314,294035;1,092764;0;0;0;53,914586;2289,809744;0,000024;0,51949;0;118,984104;0,000024;0,51949;560,557063;0,696274;746,135759;746,100588;0,147697;0,999953;0;0;0,709375;0,099758
descent_12;4229,431699;28,44646;0,519515;0,51949;0;595,340034;29,828;0;421,073449;1321,066188;1,066966;0;0;0;55,198579;2310,57697;0,000024;0,51949;0;119,068007;0,000024;0,51949;561,3;0,696281;746,127897;746,092726;0,146826;0,999953;0;0;0,707282;0,098881
reserve_climb_1;10681,52679;99,153876;26,406024;26,310877;227,842492;3024,046838;29,828;221,252685;2743,67708;3960,667737;1,06733;0;0;0;0;3765,070759;0,095146;0;6,589806;649,059905;0,095146;0;561,3;35,390747;746,127897;743,439454;0,283273;0,996397;1;0,971077;0,845431;0,253878
reserve_climb_1;10595,63218;98,392262;26,406283;26,311102;227,842492;3001,485652;29,828;221,252685;2724,043593;3932,8017;1,093521;0;0;0;0;3728,81557;0,09518;0;6,589806;644,547667;0,09518;0;560,545787;35,397081;746,001718;743,312782;0,283459;0,996396;1;0,971077;0,845257;0,254098
reserve_climb_1;10426,96385;96,896397;26,406799;26,31155;227,842492;2957,041852;29,828;221,252685;2685,337118;3877,931262;1,145109;0;0;0;0;3657,914021;0,095249;0;6,589806;635,658907;0,095249;0;559,06003;35,409685;745,750752;743,060835;0,283819;0,996393;1;0,971077;0,844899;0,254528
reserve_climb_1;10344,17098;96,161978;26,407056;26,311773;227,842492;2935,157055;29,828;221,252685;2666,263045;3850,92381;1,17051;0;0;0;0;3623,253587;0,095283;0;6,589806;631,281948;0,095283;0;558,328413;35,415956;745,62596;742,935556;0,283993;0,996392;1;0,971077;0,844714;0,254737
