mission_phase;B_Fuel_kW;B_Eng_Air_kW;B_Electric_Input_kW;W_Bat_Power_out_kW;W_Electric_Motor_in_kW;W_Mec_Engine_out_kW;W_Mec_Hydraulic_Electric_MT_kW;W_Mec_Motor_out_kW;B_Thrust_kW;B_Eng_Gases_kW;B_Bleed_MT_kW;B_Bat_Heat_kW;B_Inverter_Heat_kW;B_Motor_Heat_kW;B_Prop_Air_kW;B_Dest_Engine_kW;B_Dest_Bat_kW;B_Dest_Inverter_kW;B_Dest_Motor_kW;B_Dest_Prop_kW;P_dissipada_Bat_kW;P_loss_Inv_kW;T0_env_K;I_bat_A;Voc_bat_V;Vload_bat_V;eta_ex_engine;eta_ex_bat;eta_ex_inverter;eta_ex_motor;eta_ex_prop;eta_ex_global
descent_11;6817,400304;166,51739;0;0;0;1071,095872;29,828;0;996,471962;1684,62904;1,213584;0;0;0;0;4197,151199;0;0;0;203,508216;0;0;557,090378;0;0;0;0,157637;0;0;0;0,930329;0,142681
descent_11;6936,692334;169,192289;0;0;0;1090,351586;29,828;0;1013,92977;1711,003593;1,170603;0;0;0;0;4273,530841;0;0;0;207,166801;0;0;558,328413;0;0;0;0,157641;0;0;0;0,929911;0,142689
descent_12;5332,94678;67,156948;0;0;0;566,096709;29,828;0;529,380321;1255,748276;1,170166;0;0;0;0;3547,260577;0;0;0;107,558375;0;0;558,328413;0;0;0;0,110354;0;0;0;0,935141;0,098032
descent_12;5364,058908;67,491912;0;0;0;564,876061;29,828;0;528,329637;1261,723373;1,144377;0;0;0;0;3573,979009;0;0;0;107,326452;0;0;559,07127;0;0;0;0,109491;0;0;0;0,935302;0,09727
descent_12;5425,036611;68,14509;0;0;0;562,467281;29,828;0;526,660227;1273,341622;1,092789;0;0;0;0;3626,452008;0;0;0;106,868783;0;0;560,557063;0;0;0;0,107824;0;0;0;0,936339;0,095875
descent_12;5459,930691;68,526447;0;0;0;561,751549;29,828;0;526,038899;1280,165682;1,066992;0;0;0;0;3655,644916;0;0;0;106,732794;0;0;561,3;0;0;0;0,107006;0;0;0;0,936426;0,095151
reserve_climb_1;12963,90507;144,638088;0;0;0;3015,165052;29,828;0;2970,140735;4449,043969;1,06733;0;0;0;0;5613,438806;0;0;0;376,895631;0;0;561,3;0;0;0;0,232291;0;0;0;0,985067;0,226581
reserve_climb_1;12871,2488;143,724832;0;0;0;2998,433015;29,828;0;2954,627589;4421,122317;1,093379;0;0;0;0;5564,496923;0;0;0;374,804127;0;0;560,549856;0;0;0;0,232675;0;0;0;0,985391;0,227018
reserve_climb_1;12684,72507;141,879553;0;0;0;2963,410806;29,828;0;2922,281123;4364,652539;1,145064;0;0;0;0;5467,568211;0;0;0;370,426351;0;0;559,061334;0;0;0;0,233362;0;0;0;0,986121;0,22783
reserve_climb_1;12557,73951;140,575886;0;0;0;2934,755224;29,828;0;2895,035846;4324,660938;1,17051;0;0;0;0;5407,900725;0;0;0;366,844403;0;0;558,328413;0;0;0;0,233463;0;0;0;0,986466;0,227986
